Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
Belgium,BEL,Gini index,SI.POV.GINI,1988,25.7
Bangladesh,BGD,Gini index,SI.POV.GINI,1988,28.8
Brazil,BRA,Gini index,SI.POV.GINI,1988,61.4
Canada,CAN,Gini index,SI.POV.GINI,1988,31.2
Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,1988,36.9
Algeria,DZA,Gini index,SI.POV.GINI,1988,40.2
United Kingdom,GBR,Gini index,SI.POV.GINI,1988,34.3
Ghana,GHA,Gini index,SI.POV.GINI,1988,36
Jamaica,JAM,Gini index,SI.POV.GINI,1988,43.2
Luxembourg,LUX,Gini index,SI.POV.GINI,1988,28.8
Thailand,THA,Gini index,SI.POV.GINI,1988,43.8
Trinidad and Tobago,TTO,Gini index,SI.POV.GINI,1988,42.6
United States,USA,Gini index,SI.POV.GINI,1988,37.7
Australia,AUS,Gini index,SI.POV.GINI,1989,33.2
Brazil,BRA,Gini index,SI.POV.GINI,1989,63.3
Canada,CAN,Gini index,SI.POV.GINI,1989,31
Costa Rica,CRI,Gini index,SI.POV.GINI,1989,45.6
Dominican Republic,DOM,Gini index,SI.POV.GINI,1989,50.5
United Kingdom,GBR,Gini index,SI.POV.GINI,1989,33.4
Guatemala,GTM,Gini index,SI.POV.GINI,1989,59.6
Honduras,HND,Gini index,SI.POV.GINI,1989,59.5
Italy,ITA,Gini index,SI.POV.GINI,1989,32.6
Luxembourg,LUX,Gini index,SI.POV.GINI,1989,30.8
Mexico,MEX,Gini index,SI.POV.GINI,1989,50.6
Malaysia,MYS,Gini index,SI.POV.GINI,1989,46.2
Panama,PAN,Gini index,SI.POV.GINI,1989,58.9
Uganda,UGA,Gini index,SI.POV.GINI,1989,44.4
United States,USA,Gini index,SI.POV.GINI,1989,38.2
"Venezuela, RB",VEN,Gini index,SI.POV.GINI,1989,43.8
Brazil,BRA,Gini index,SI.POV.GINI,1990,60.5
Canada,CAN,Gini index,SI.POV.GINI,1990,31.4
Chile,CHL,Gini index,SI.POV.GINI,1990,57.2
China,CHN,Gini index,SI.POV.GINI,1990,32.2
Costa Rica,CRI,Gini index,SI.POV.GINI,1990,45.3
"Egypt, Arab Rep.",EGY,Gini index,SI.POV.GINI,1990,32
Spain,ESP,Gini index,SI.POV.GINI,1990,32
France,FRA,Gini index,SI.POV.GINI,1990,32.1
United Kingdom,GBR,Gini index,SI.POV.GINI,1990,35.7
Honduras,HND,Gini index,SI.POV.GINI,1990,57.4
Indonesia,IDN,Gini index,SI.POV.GINI,1990,32.3
"Iran, Islamic Rep.",IRN,Gini index,SI.POV.GINI,1990,43.6
Jamaica,JAM,Gini index,SI.POV.GINI,1990,41.1
Sri Lanka,LKA,Gini index,SI.POV.GINI,1990,32.4
Luxembourg,LUX,Gini index,SI.POV.GINI,1990,27.7
Morocco,MAR,Gini index,SI.POV.GINI,1990,39.2
Netherlands,NLD,Gini index,SI.POV.GINI,1990,31.1
Pakistan,PAK,Gini index,SI.POV.GINI,1990,33.2
Paraguay,PRY,Gini index,SI.POV.GINI,1990,40.8
Thailand,THA,Gini index,SI.POV.GINI,1990,45.3
Tunisia,TUN,Gini index,SI.POV.GINI,1990,40.2
United States,USA,Gini index,SI.POV.GINI,1990,38.3
Argentina,ARG,Gini index,SI.POV.GINI,1991,46.8
Bangladesh,BGD,Gini index,SI.POV.GINI,1991,27.6
Canada,CAN,Gini index,SI.POV.GINI,1991,32
Costa Rica,CRI,Gini index,SI.POV.GINI,1991,46.6
Germany,DEU,Gini index,SI.POV.GINI,1991,29.5
Finland,FIN,Gini index,SI.POV.GINI,1991,22.9
United Kingdom,GBR,Gini index,SI.POV.GINI,1991,35
Ghana,GHA,Gini index,SI.POV.GINI,1991,38.4
Guinea,GIN,Gini index,SI.POV.GINI,1991,46.8
Honduras,HND,Gini index,SI.POV.GINI,1991,51.9
Italy,ITA,Gini index,SI.POV.GINI,1991,31.5
Luxembourg,LUX,Gini index,SI.POV.GINI,1991,27.2
Norway,NOR,Gini index,SI.POV.GINI,1991,25.2
Panama,PAN,Gini index,SI.POV.GINI,1991,58.2
Senegal,SEN,Gini index,SI.POV.GINI,1991,54.1
El Salvador,SLV,Gini index,SI.POV.GINI,1991,54
Tanzania,TZA,Gini index,SI.POV.GINI,1991,35.3
United States,USA,Gini index,SI.POV.GINI,1991,38
Zambia,ZMB,Gini index,SI.POV.GINI,1991,60.5
Argentina,ARG,Gini index,SI.POV.GINI,1992,45.5
Burundi,BDI,Gini index,SI.POV.GINI,1992,33.3
Belgium,BEL,Gini index,SI.POV.GINI,1992,25
Brazil,BRA,Gini index,SI.POV.GINI,1992,53.2
Central African Republic,CAF,Gini index,SI.POV.GINI,1992,61.3
Canada,CAN,Gini index,SI.POV.GINI,1992,31.6
Switzerland,CHE,Gini index,SI.POV.GINI,1992,33.9
Chile,CHL,Gini index,SI.POV.GINI,1992,54.8
Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,1992,39.4
Colombia,COL,Gini index,SI.POV.GINI,1992,51.5
Costa Rica,CRI,Gini index,SI.POV.GINI,1992,45.7
Czechia,CZE,Gini index,SI.POV.GINI,1992,20.7
Germany,DEU,Gini index,SI.POV.GINI,1992,29
Denmark,DNK,Gini index,SI.POV.GINI,1992,24.7
Dominican Republic,DOM,Gini index,SI.POV.GINI,1992,51.4
United Kingdom,GBR,Gini index,SI.POV.GINI,1992,35
Honduras,HND,Gini index,SI.POV.GINI,1992,51.8
Israel,ISR,Gini index,SI.POV.GINI,1992,35.5
Jordan,JOR,Gini index,SI.POV.GINI,1992,43.4
Kenya,KEN,Gini index,SI.POV.GINI,1992,57.5
Lao PDR,LAO,Gini index,SI.POV.GINI,1992,34.3
Luxembourg,LUX,Gini index,SI.POV.GINI,1992,27.3
Mexico,MEX,Gini index,SI.POV.GINI,1992,52.6
Malaysia,MYS,Gini index,SI.POV.GINI,1992,47.7
Niger,NER,Gini index,SI.POV.GINI,1992,36.1
Nigeria,NGA,Gini index,SI.POV.GINI,1992,45
Sweden,SWE,Gini index,SI.POV.GINI,1992,24.9
Thailand,THA,Gini index,SI.POV.GINI,1992,47.9
Trinidad and Tobago,TTO,Gini index,SI.POV.GINI,1992,40.3
Uganda,UGA,Gini index,SI.POV.GINI,1992,41.4
Ukraine,UKR,Gini index,SI.POV.GINI,1992,29.7
United States,USA,Gini index,SI.POV.GINI,1992,38.4
"Venezuela, RB",VEN,Gini index,SI.POV.GINI,1992,42.1
Viet Nam,VNM,Gini index,SI.POV.GINI,1992,35.7
Argentina,ARG,Gini index,SI.POV.GINI,1993,44.9
Belize,BLZ,Gini index,SI.POV.GINI,1993,60.3
Brazil,BRA,Gini index,SI.POV.GINI,1993,60.1
Botswana,BWA,Gini index,SI.POV.GINI,1993,60.8
Canada,CAN,Gini index,SI.POV.GINI,1993,31.7
China,CHN,Gini index,SI.POV.GINI,1993,33.9
Costa Rica,CRI,Gini index,SI.POV.GINI,1993,46
Czechia,CZE,Gini index,SI.POV.GINI,1993,26.6
Germany,DEU,Gini index,SI.POV.GINI,1993,28.5
Spain,ESP,Gini index,SI.POV.GINI,1993,35.7
United Kingdom,GBR,Gini index,SI.POV.GINI,1993,35.1
Guinea-Bissau,GNB,Gini index,SI.POV.GINI,1993,43.6
Honduras,HND,Gini index,SI.POV.GINI,1993,53.5
Indonesia,IDN,Gini index,SI.POV.GINI,1993,33.2
India,IND,Gini index,SI.POV.GINI,1993,31.7
Italy,ITA,Gini index,SI.POV.GINI,1993,35.5
Jamaica,JAM,Gini index,SI.POV.GINI,1993,35.7
Luxembourg,LUX,Gini index,SI.POV.GINI,1993,27
Madagascar,MDG,Gini index,SI.POV.GINI,1993,45.3
Mauritania,MRT,Gini index,SI.POV.GINI,1993,50.1
Nicaragua,NIC,Gini index,SI.POV.GINI,1993,57.4
Netherlands,NLD,Gini index,SI.POV.GINI,1993,30.4
Ukraine,UKR,Gini index,SI.POV.GINI,1993,28.9
United States,USA,Gini index,SI.POV.GINI,1993,40.4
South Africa,ZAF,Gini index,SI.POV.GINI,1993,59.3
Zambia,ZMB,Gini index,SI.POV.GINI,1993,52.6
Argentina,ARG,Gini index,SI.POV.GINI,1994,45.9
Austria,AUT,Gini index,SI.POV.GINI,1994,30.8
Burkina Faso,BFA,Gini index,SI.POV.GINI,1994,48.1
Belize,BLZ,Gini index,SI.POV.GINI,1994,60.9
Canada,CAN,Gini index,SI.POV.GINI,1994,31.3
Chile,CHL,Gini index,SI.POV.GINI,1994,56.4
Costa Rica,CRI,Gini index,SI.POV.GINI,1994,46.8
Germany,DEU,Gini index,SI.POV.GINI,1994,29.2
Ecuador,ECU,Gini index,SI.POV.GINI,1994,53.4
Spain,ESP,Gini index,SI.POV.GINI,1994,35.1
United Kingdom,GBR,Gini index,SI.POV.GINI,1994,36
Guinea,GIN,Gini index,SI.POV.GINI,1994,46.1
Honduras,HND,Gini index,SI.POV.GINI,1994,55
Ireland,IRL,Gini index,SI.POV.GINI,1994,36.9
"Iran, Islamic Rep.",IRN,Gini index,SI.POV.GINI,1994,43
Kenya,KEN,Gini index,SI.POV.GINI,1994,43.1
Lesotho,LSO,Gini index,SI.POV.GINI,1994,63.2
Luxembourg,LUX,Gini index,SI.POV.GINI,1994,28.1
Mexico,MEX,Gini index,SI.POV.GINI,1994,52.8
Mali,MLI,Gini index,SI.POV.GINI,1994,50.4
Niger,NER,Gini index,SI.POV.GINI,1994,41.5
Senegal,SEN,Gini index,SI.POV.GINI,1994,41.4
Eswatini,SWZ,Gini index,SI.POV.GINI,1994,60.5
Thailand,THA,Gini index,SI.POV.GINI,1994,43.5
Turkiye,TUR,Gini index,SI.POV.GINI,1994,41.3
United States,USA,Gini index,SI.POV.GINI,1994,40
Argentina,ARG,Gini index,SI.POV.GINI,1995,48.9
Australia,AUS,Gini index,SI.POV.GINI,1995,32.6
Austria,AUT,Gini index,SI.POV.GINI,1995,29.9
Azerbaijan,AZE,Gini index,SI.POV.GINI,1995,34.7
Belgium,BEL,Gini index,SI.POV.GINI,1995,28.4
Bangladesh,BGD,Gini index,SI.POV.GINI,1995,32.9
Brazil,BRA,Gini index,SI.POV.GINI,1995,59.6
Canada,CAN,Gini index,SI.POV.GINI,1995,31.5
Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,1995,40.6
Costa Rica,CRI,Gini index,SI.POV.GINI,1995,45.7
Germany,DEU,Gini index,SI.POV.GINI,1995,28.7
Denmark,DNK,Gini index,SI.POV.GINI,1995,23
Algeria,DZA,Gini index,SI.POV.GINI,1995,35.3
"Egypt, Arab Rep.",EGY,Gini index,SI.POV.GINI,1995,30.1
Spain,ESP,Gini index,SI.POV.GINI,1995,35.7
Ethiopia,ETH,Gini index,SI.POV.GINI,1995,44.6
Finland,FIN,Gini index,SI.POV.GINI,1995,23.5
United Kingdom,GBR,Gini index,SI.POV.GINI,1995,35.5
Greece,GRC,Gini index,SI.POV.GINI,1995,37
Honduras,HND,Gini index,SI.POV.GINI,1995,55.5
Ireland,IRL,Gini index,SI.POV.GINI,1995,37
Italy,ITA,Gini index,SI.POV.GINI,1995,35.2
St. Lucia,LCA,Gini index,SI.POV.GINI,1995,42.6
Sri Lanka,LKA,Gini index,SI.POV.GINI,1995,35.4
Luxembourg,LUX,Gini index,SI.POV.GINI,1995,28.3
Mongolia,MNG,Gini index,SI.POV.GINI,1995,33.2
Mauritania,MRT,Gini index,SI.POV.GINI,1995,37.7
Malaysia,MYS,Gini index,SI.POV.GINI,1995,48.5
Norway,NOR,Gini index,SI.POV.GINI,1995,26
Nepal,NPL,Gini index,SI.POV.GINI,1995,35.2
Panama,PAN,Gini index,SI.POV.GINI,1995,57.8
Paraguay,PRY,Gini index,SI.POV.GINI,1995,58.2
El Salvador,SLV,Gini index,SI.POV.GINI,1995,49.9
Sweden,SWE,Gini index,SI.POV.GINI,1995,25.2
Tunisia,TUN,Gini index,SI.POV.GINI,1995,41.7
Ukraine,UKR,Gini index,SI.POV.GINI,1995,39.3
United States,USA,Gini index,SI.POV.GINI,1995,39.9
"Venezuela, RB",VEN,Gini index,SI.POV.GINI,1995,47.2
Albania,ALB,Gini index,SI.POV.GINI,1996,27
Argentina,ARG,Gini index,SI.POV.GINI,1996,49.5
Austria,AUT,Gini index,SI.POV.GINI,1996,29.3
Belize,BLZ,Gini index,SI.POV.GINI,1996,56.6
Brazil,BRA,Gini index,SI.POV.GINI,1996,59.9
Canada,CAN,Gini index,SI.POV.GINI,1996,32.8
Chile,CHL,Gini index,SI.POV.GINI,1996,54.9
China,CHN,Gini index,SI.POV.GINI,1996,35.2
Cameroon,CMR,Gini index,SI.POV.GINI,1996,44.4
Colombia,COL,Gini index,SI.POV.GINI,1996,56.9
Costa Rica,CRI,Gini index,SI.POV.GINI,1996,46.5
Czechia,CZE,Gini index,SI.POV.GINI,1996,25.8
Germany,DEU,Gini index,SI.POV.GINI,1996,28
Dominican Republic,DOM,Gini index,SI.POV.GINI,1996,47.4
Spain,ESP,Gini index,SI.POV.GINI,1996,36.5
France,FRA,Gini index,SI.POV.GINI,1996,32
United Kingdom,GBR,Gini index,SI.POV.GINI,1996,35.3
Georgia,GEO,Gini index,SI.POV.GINI,1996,37.1
Honduras,HND,Gini index,SI.POV.GINI,1996,55.7
Indonesia,IDN,Gini index,SI.POV.GINI,1996,35.6
Ireland,IRL,Gini index,SI.POV.GINI,1996,35.6
Jamaica,JAM,Gini index,SI.POV.GINI,1996,40.4
Kazakhstan,KAZ,Gini index,SI.POV.GINI,1996,35.4
Luxembourg,LUX,Gini index,SI.POV.GINI,1996,29
Mexico,MEX,Gini index,SI.POV.GINI,1996,53.6
Mozambique,MOZ,Gini index,SI.POV.GINI,1996,53.6
Nigeria,NGA,Gini index,SI.POV.GINI,1996,51.9
Pakistan,PAK,Gini index,SI.POV.GINI,1996,28.7
Papua New Guinea,PNG,Gini index,SI.POV.GINI,1996,45.8
El Salvador,SLV,Gini index,SI.POV.GINI,1996,51
Syrian Arab Republic,SYR,Gini index,SI.POV.GINI,1996,35.2
Thailand,THA,Gini index,SI.POV.GINI,1996,42.9
Uganda,UGA,Gini index,SI.POV.GINI,1996,39
Ukraine,UKR,Gini index,SI.POV.GINI,1996,35.2
United States,USA,Gini index,SI.POV.GINI,1996,40.3
Zambia,ZMB,Gini index,SI.POV.GINI,1996,48.3
Argentina,ARG,Gini index,SI.POV.GINI,1997,49.1
Austria,AUT,Gini index,SI.POV.GINI,1997,29.1
Belgium,BEL,Gini index,SI.POV.GINI,1997,26.8
Belize,BLZ,Gini index,SI.POV.GINI,1997,60.4
Bolivia,BOL,Gini index,SI.POV.GINI,1997,58.2
Brazil,BRA,Gini index,SI.POV.GINI,1997,59.8
Canada,CAN,Gini index,SI.POV.GINI,1997,33.1
Costa Rica,CRI,Gini index,SI.POV.GINI,1997,45.6
Germany,DEU,Gini index,SI.POV.GINI,1997,28.3
Dominican Republic,DOM,Gini index,SI.POV.GINI,1997,48.9
Spain,ESP,Gini index,SI.POV.GINI,1997,35.3
France,FRA,Gini index,SI.POV.GINI,1997,31.9
United Kingdom,GBR,Gini index,SI.POV.GINI,1997,35.7
Georgia,GEO,Gini index,SI.POV.GINI,1997,40.7
Honduras,HND,Gini index,SI.POV.GINI,1997,52.7
Israel,ISR,Gini index,SI.POV.GINI,1997,38.1
Jordan,JOR,Gini index,SI.POV.GINI,1997,36.4
Kenya,KEN,Gini index,SI.POV.GINI,1997,45
Lao PDR,LAO,Gini index,SI.POV.GINI,1997,34.9
Luxembourg,LUX,Gini index,SI.POV.GINI,1997,29.6
Moldova,MDA,Gini index,SI.POV.GINI,1997,36.9
Madagascar,MDG,Gini index,SI.POV.GINI,1997,39.5
Malawi,MWI,Gini index,SI.POV.GINI,1997,65.8
Malaysia,MYS,Gini index,SI.POV.GINI,1997,49.1
Panama,PAN,Gini index,SI.POV.GINI,1997,58.2
Peru,PER,Gini index,SI.POV.GINI,1997,53.3
Paraguay,PRY,Gini index,SI.POV.GINI,1997,54.9
Russian Federation,RUS,Gini index,SI.POV.GINI,1997,38.4
United States,USA,Gini index,SI.POV.GINI,1997,40.5
Viet Nam,VNM,Gini index,SI.POV.GINI,1997,35.4
Argentina,ARG,Gini index,SI.POV.GINI,1998,50.7
Austria,AUT,Gini index,SI.POV.GINI,1998,31.3
Burundi,BDI,Gini index,SI.POV.GINI,1998,42.3
Burkina Faso,BFA,Gini index,SI.POV.GINI,1998,49.9
Belarus,BLR,Gini index,SI.POV.GINI,1998,32
Belize,BLZ,Gini index,SI.POV.GINI,1998,54.9
Brazil,BRA,Gini index,SI.POV.GINI,1998,59.6
Canada,CAN,Gini index,SI.POV.GINI,1998,33.2
Chile,CHL,Gini index,SI.POV.GINI,1998,55.5
Cote d'Ivoire,CIV,Gini index,SI.POV.GINI,1998,39
Costa Rica,CRI,Gini index,SI.POV.GINI,1998,45.7
Germany,DEU,Gini index,SI.POV.GINI,1998,28.1
Spain,ESP,Gini index,SI.POV.GINI,1998,34.6
France,FRA,Gini index,SI.POV.GINI,1998,31.7
United Kingdom,GBR,Gini index,SI.POV.GINI,1998,36.6
Georgia,GEO,Gini index,SI.POV.GINI,1998,41.3
Ghana,GHA,Gini index,SI.POV.GINI,1998,40.1
"Gambia, The",GMB,Gini index,SI.POV.GINI,1998,48.5
Guyana,GUY,Gini index,SI.POV.GINI,1998,45.1
Honduras,HND,Gini index,SI.POV.GINI,1998,57.4
Indonesia,IDN,Gini index,SI.POV.GINI,1998,32.2
"Iran, Islamic Rep.",IRN,Gini index,SI.POV.GINI,1998,44.1
Italy,ITA,Gini index,SI.POV.GINI,1998,36.7
Luxembourg,LUX,Gini index,SI.POV.GINI,1998,30.6
Morocco,MAR,Gini index,SI.POV.GINI,1998,39.4
Moldova,MDA,Gini index,SI.POV.GINI,1998,39.5
Mexico,MEX,Gini index,SI.POV.GINI,1998,51.7
Mongolia,MNG,Gini index,SI.POV.GINI,1998,30.3
Nicaragua,NIC,Gini index,SI.POV.GINI,1998,54.4
Pakistan,PAK,Gini index,SI.POV.GINI,1998,33.1
Panama,PAN,Gini index,SI.POV.GINI,1998,57.5
Peru,PER,Gini index,SI.POV.GINI,1998,55.1
Russian Federation,RUS,Gini index,SI.POV.GINI,1998,38.1
El Salvador,SLV,Gini index,SI.POV.GINI,1998,54.5
Thailand,THA,Gini index,SI.POV.GINI,1998,41.5
Turkmenistan,TKM,Gini index,SI.POV.GINI,1998,40.8
United States,USA,Gini index,SI.POV.GINI,1998,40
Uzbekistan,UZB,Gini index,SI.POV.GINI,1998,44.7
"Venezuela, RB",VEN,Gini index,SI.POV.GINI,1998,48.1
"Yemen, Rep.",YEM,Gini index,SI.POV.GINI,1998,35
Zambia,ZMB,Gini index,SI.POV.GINI,1998,49.1
Argentina,ARG,Gini index,SI.POV.GINI,1999,49.8
Armenia,ARM,Gini index,SI.POV.GINI,1999,36.2
Austria,AUT,Gini index,SI.POV.GINI,1999,29.7
Belarus,BLR,Gini index,SI.POV.GINI,1999,31.7
Belize,BLZ,Gini index,SI.POV.GINI,1999,53.3
Bolivia,BOL,Gini index,SI.POV.GINI,1999,58.1
Brazil,BRA,Gini index,SI.POV.GINI,1999,59
Canada,CAN,Gini index,SI.POV.GINI,1999,33.1
China,CHN,Gini index,SI.POV.GINI,1999,38.7
Colombia,COL,Gini index,SI.POV.GINI,1999,58.7
Costa Rica,CRI,Gini index,SI.POV.GINI,1999,47.7
Germany,DEU,Gini index,SI.POV.GINI,1999,29
Ecuador,ECU,Gini index,SI.POV.GINI,1999,58.6
"Egypt, Arab Rep.",EGY,Gini index,SI.POV.GINI,1999,32.8
Spain,ESP,Gini index,SI.POV.GINI,1999,33.8
Ethiopia,ETH,Gini index,SI.POV.GINI,1999,30
France,FRA,Gini index,SI.POV.GINI,1999,32.5
United Kingdom,GBR,Gini index,SI.POV.GINI,1999,36.8
Georgia,GEO,Gini index,SI.POV.GINI,1999,40.1
